Fixed_Acidity,Volatile_Acidity,Citric_Acid,Residual_Sugar,Chlorides,Free_Sulfur_Dioxide,Total_Sulfur_Dioxide,Density,pH,Sulphates,Alcohol,Predicted_quality,Actual_Label,Predicted_Label,quality,Original_quality
0.57,0.39,0.21,1.16,0.19,0.3,1.14,1.11,0.23,0.62,-0.32,0,Medium,Medium,-0.97,-1
-0.92,1.8,-1.42,-0.75,-0.09,-1.17,-0.73,-0.58,1.27,-0.32,-0.15,0,Low,Medium,-2.15,-2
0.76,2.6,-2.24,-0.73,1.11,-1.41,-1.54,0.85,1.08,0.15,-0.82,0,Medium,Medium,-0.97,-1
0.01,-0.47,0.06,2.61,-0.36,0.05,0.99,0.77,-0.36,-1.19,0.53,0,Medium,Medium,-0.97,-1
-1.39,-0.47,-2.32,1.21,-0.64,-1.05,-0.09,-0.41,1.4,-0.48,1.54,0,Medium,Medium,0.2,0
-0.18,-0.34,-0.53,-0.68,-0.83,1.15,0.09,-1.96,-1.61,-0.72,2.21,0,High,Medium,1.38,1
0.85,-0.21,1.33,1.02,-0.27,1.03,1.32,0.75,-0.56,-0.32,-0.48,0,Medium,Medium,-0.97,-1
0.48,-0.41,0.06,-0.89,-0.41,-0.44,-0.81,-0.7,-1.08,1.24,-0.06,0,Medium,Medium,-0.97,-1
-1.02,-0.47,-0.98,0.46,0.14,1.21,1.43,0.58,-0.1,-0.72,-1.33,0,Medium,Medium,-0.97,-1
-0.46,0.33,-1.2,-0.1,-0.36,-0.31,-0.7,-0.43,-0.75,-1.11,-0.32,0,Medium,Medium,0.2,0
-0.36,-1.47,0.21,0.88,-0.41,0.66,-0.05,0.68,1.27,-0.95,-1.08,0,High,Medium,1.38,1
-0.08,1.8,-1.42,-0.66,1.44,-1.05,-1.61,0.82,1.93,0.77,-0.32,0,High,Medium,1.38,1
-0.64,-0.21,-0.31,-0.15,0.14,-0.8,0.35,-0.65,0.03,-0.64,1.37,0,Medium,Medium,0.2,0
-0.08,-0.47,-0.38,1.35,-0.59,0.42,1.25,1.28,1.6,0.46,-0.23,0,High,Medium,1.38,1
0.95,-0.74,0.88,-0.82,-0.36,-0.13,0.24,-0.18,-0.04,-0.56,0.36,0,Medium,Medium,0.2,0
-1.02,0.6,-0.9,-0.71,1.07,-0.5,-1.27,0.33,1.08,2.03,-0.48,0,Medium,Medium,0.2,0
0.76,1.4,0.21,-0.59,1.11,-1.35,-1.82,-0.7,-0.17,1.56,2.13,0,High,Medium,2.56,3
-1.2,-0.87,-0.53,-0.85,-0.87,2.13,0.97,-1.39,2.39,0.3,1.46,1,High,High,1.38,1
-0.83,-0.61,0.29,-0.89,-0.64,-0.5,0.94,-1.11,-0.82,-0.32,0.02,0,Medium,Medium,0.2,0
-0.74,-0.87,-0.08,0.2,-0.83,0.3,0.66,0.76,1.6,-0.95,-1.75,0,Medium,Medium,0.2,0
-1.95,-0.41,0.66,-0.89,1.11,0.72,0.15,-0.81,0.62,-0.4,-0.4,0,Medium,Medium,0.2,0
0.11,-0.81,-0.01,1.28,-0.78,0.36,0.11,0.17,-0.69,-0.95,0.02,0,Medium,Medium,0.2,0
-0.18,-1.44,0.29,0.09,-0.18,0.36,-0.15,-0.14,0.62,-0.79,-0.32,0,Medium,Medium,0.2,0
-1.2,-1.01,-0.23,-0.87,-0.83,-1.29,-0.4,-1.21,-0.1,-0.01,0.53,0,Medium,Medium,0.2,0
-0.18,0.13,1.78,1.61,-0.64,-0.5,-0.09,0.92,-0.75,-1.81,-0.74,0,Medium,Medium,-0.97,-1
-0.36,2.3,-1.8,-0.61,1.71,-0.8,-0.62,0.54,0.82,0.15,-0.4,0,Medium,Medium,-0.97,-1
-0.92,-1.27,-0.46,-0.87,-0.23,0.42,1.05,-0.65,0.82,-0.48,-0.48,0,Medium,Medium,0.2,0
-0.55,0.33,-0.38,0.04,-0.46,0.17,-0.07,-1.3,-1.08,-0.17,1.46,1,High,High,1.38,1
-0.92,0.33,-1.28,-0.26,0.37,-0.19,-0.05,-0.31,-1.02,-1.42,-1.16,0,Low,Medium,-2.15,-2
-0.36,0.06,-0.01,2.65,-0.04,-0.62,0.55,1.45,-1.08,0.15,-1.24,0,Medium,Medium,-0.97,-1
0.01,2.26,-2.32,-0.64,1.44,-0.74,-1.63,1.21,1.4,0.15,-0.99,0,Medium,Medium,-0.97,-1
0.57,2.4,1.33,-0.75,2.91,-0.62,-0.07,0.9,-0.1,1.48,-1.08,0,Medium,Medium,-0.97,-1
-0.83,-0.54,-0.75,2.45,-0.59,-0.13,0.79,1.4,1.67,0.93,-0.82,0,Medium,Medium,0.2,0
-1.2,-0.21,-1.65,0.3,-0.46,0.36,0.4,-0.17,-0.49,-0.32,-0.74,0,Medium,Medium,-0.97,-1
0.11,2.63,-1.94,-0.09,1.57,-1.6,-1.93,0.68,1.21,-1.03,0.27,0,Medium,Medium,-0.97,-1
0.57,-0.34,0.58,0.9,-0.73,-1.35,0.02,-0.29,-1.08,-1.11,1.2,0,High,Medium,1.38,1
-0.55,0.26,-0.08,-0.66,-0.87,0.54,-0.16,-1.92,-0.04,0.07,2.47,1,High,High,1.38,1
0.48,-1.14,0.73,-0.73,-0.23,-0.19,0.64,-0.22,-0.17,0.07,-0.4,0,Medium,Medium,0.2,0
-0.08,1.06,1.33,0.13,0.37,-0.25,0.09,1.11,0.75,1.87,-0.06,0,Medium,Medium,-0.97,-1
-0.46,-0.67,0.44,0.81,-0.73,0.97,0.68,0.52,-0.17,-0.32,-0.99,0,Medium,Medium,0.2,0
-0.83,-0.87,-0.01,-0.94,-0.96,-0.5,-0.79,-1.42,0.1,-0.01,0.61,0,Medium,Medium,0.2,0
-0.74,-0.94,-0.16,-0.71,-1.38,0.17,-0.37,-1.89,-1.21,0.15,1.88,1,High,High,1.38,1
2.16,-0.34,-0.08,-0.8,-0.32,0.36,0.42,0.37,-0.75,-0.25,-1.08,0,Medium,Medium,-0.97,-1
-0.18,0.46,-1.28,-0.61,1.53,-0.56,-1.39,0.9,1.34,0.85,-0.74,0,Medium,Medium,0.2,0
-0.92,-0.07,-0.23,0.37,-1.43,-0.07,0.29,-0.87,-0.49,-1.27,0.74,0,High,Medium,1.38,1
-0.46,-0.87,0.51,0.67,0.01,-0.01,0.53,0.14,0.62,0.3,0.36,0,High,Medium,1.38,1
0.85,1.73,-1.94,-0.71,1.71,-1.11,-1.54,1.09,0.88,0.7,-0.48,0,Medium,Medium,-0.97,-1
1.23,-0.54,0.58,-0.71,-0.5,-1.6,-1.95,-0.16,0.29,1.48,1.62,1,High,High,1.38,1
-1.02,0.66,0.21,0.6,-0.32,-0.31,0.04,-0.75,-1.28,-1.19,0.36,0,Medium,Medium,0.2,0
0.11,-0.47,-0.53,0.46,-1.33,-0.68,0.26,-0.91,-0.56,-0.25,1.88,0,High,Medium,1.38,1
1.04,0.26,2.45,2.07,-0.41,-0.5,1.01,1.59,-1.54,2.19,-1.08,0,Medium,Medium,-0.97,-1
0.48,1,-0.01,1.02,-0.27,-1.48,1.43,1.02,-1.02,0.7,-0.99,0,Medium,Medium,-0.97,-1
0.11,0.8,-1.2,-0.71,1.21,-1.23,-1.61,0.64,0.42,-0.09,-0.57,0,Medium,Medium,0.2,0
-0.64,-0.01,-0.08,0.51,-0.5,0.72,0.96,-0.36,-0.04,-0.25,0.44,0,Medium,Medium,0.2,0
-0.46,-0.61,-0.53,0.83,-0.83,-0.31,0.35,0.54,0.68,0.54,-0.23,0,Medium,Medium,0.2,0
0.29,0.53,-0.53,-0.75,0.65,-0.74,-1.27,0.47,0.95,0.77,-0.15,0,Medium,Medium,-0.97,-1
-0.46,-0.54,0.06,0.13,-0.59,-0.93,-0.88,-0.96,-1.74,-0.01,0.44,0,Medium,Medium,0.2,0
0.01,0.66,-0.46,-0.52,-0.73,0.78,0.29,-1.63,-0.1,-0.4,2.38,1,Medium,High,0.2,0
-0.08,-0.01,-0.23,0.16,-0.87,0.54,1.62,-0.91,-0.36,0.93,1.62,0,Medium,Medium,0.2,0
-0.55,-1.01,-0.16,-0.78,-0.78,0.54,0.52,-0.57,1.73,-0.17,-0.06,0,Medium,Medium,0.2,0
2.26,1.6,-0.31,-0.64,1.39,-0.44,0.52,1.26,0.29,0.22,-0.99,0,Medium,Medium,-0.97,-1
0.11,-0.27,-0.83,0.62,-0.27,1.27,1.07,0.54,-0.43,-0.01,-0.91,0,Medium,Medium,-0.97,-1
-0.64,-0.74,0.06,1.63,0.65,1.64,0.77,1.76,2.45,-0.72,-1.33,0,Medium,Medium,0.2,0
-0.27,-0.74,0.06,0.2,0.1,0.6,0.66,-0.18,-0.17,0.38,0.19,0,Medium,Medium,0.2,0
-0.18,0.46,1.85,1.44,-0.41,0.6,0.48,1.15,-0.56,-0.48,-1.58,0,Medium,Medium,-0.97,-1
0.48,0.13,2.15,-0.57,0.97,-0.44,-1.32,0.81,1.01,2.11,0.44,0,Medium,Medium,0.2,0
-0.92,-0.61,-0.46,-0.8,-0.36,-0.38,-0.02,-0.79,1.08,0.54,0.27,0,Medium,Medium,0.2,0
-0.64,-0.67,0.29,-0.1,-0.59,0.78,0.57,-0.77,-0.3,-0.95,0.36,0,High,Medium,1.38,1
0.67,-0.67,-0.23,-0.07,-0.46,0.91,0.92,-0.54,-1.74,-0.95,0.78,0,Medium,Medium,-0.97,-1
0.2,1.2,-0.16,1.46,-0.83,1.88,1.98,0.91,-0.56,0.3,-0.91,0,Medium,Medium,0.2,0
-0.83,-1.01,-0.08,-0.94,-0.96,-0.44,-0.79,-1.43,0.03,-0.01,0.61,0,Medium,Medium,0.2,0
1.97,-1.27,0.44,-0.92,-0.83,0.36,-0.59,-1.05,-1.15,0.22,0.87,0,Medium,Medium,0.2,0
-1.02,0.06,-0.53,0.09,0.37,-0.44,0.18,0.29,0.16,-0.64,-1.33,0,High,Medium,1.38,1
1.13,-0.54,0.14,-0.59,0.05,-1.11,-0.81,-0.09,-2.19,-0.32,-0.91,0,Medium,Medium,-0.97,-1
0.48,2.7,-2.17,-0.59,0.88,-1.23,-1.87,0.39,1.86,1.48,0.95,0,High,Medium,1.38,1
-1.67,1.8,0.21,-0.85,-0.96,-1.66,-1.03,-2.06,0.29,-1.11,2.05,0,Medium,Medium,0.2,0
-0.18,-0.21,0.14,-0.22,-0.78,-0.25,0.72,-0.65,0.16,2.11,1.46,0,High,Medium,2.56,3
-0.64,-1.14,-0.23,-0.66,-0.46,0.17,-0.42,-1.04,0.55,-0.72,0.44,0,Medium,Medium,0.2,0
-1.3,0.19,0.21,-0.19,-1.19,-0.56,-0.72,-1.29,1.21,-0.56,1.12,1,Medium,High,0.2,0
-0.55,0.19,-0.01,1.99,0.05,-0.62,-0.05,0.41,-0.17,0.3,0.36,0,Medium,Medium,0.2,0
-0.74,-0.41,0.51,-0.96,-0.04,-1.41,0.44,-0.61,1.47,-0.17,-0.06,0,High,Medium,1.38,1
0.48,-0.27,2,2.91,-0.5,1.27,2,1.93,-0.43,1.09,-0.91,0,Medium,Medium,0.2,0
0.2,-0.47,-0.01,-0.8,-0.55,0.54,1.05,-0.9,-0.23,-0.09,0.7,0,Medium,Medium,0.2,0
-1.2,-0.47,-0.53,0.97,-0.36,1.52,0.66,0.64,0.55,-1.11,-0.99,0,Medium,Medium,-0.97,-1
-0.08,-0.14,0.29,-0.8,0.51,-1.05,0.06,-0.88,-0.04,-0.17,0.11,0,Medium,Medium,-0.97,-1
-0.64,-1.37,0.36,-0.85,-0.36,-0.5,-0.88,-1.49,-0.49,-0.17,0.95,1,High,High,1.38,1
1.88,-0.21,0.21,-0.71,0.56,-1.11,-1.67,0.31,0.23,2.5,0.95,1,High,High,1.38,1
0.67,1.8,-1.28,-0.61,1.57,-1.66,-1.85,1.15,1.27,0.62,0.19,0,Medium,Medium,0.2,0
-0.64,-1.01,-0.23,2.8,-0.23,1.4,0.42,1.05,0.16,-1.34,-0.06,0,Medium,Medium,0.2,0
1.13,-1.27,-0.38,-0.82,-0.13,1.58,1.34,0.11,-0.1,0.77,-0.91,0,Medium,Medium,0.2,0
-0.08,-1.34,0.44,1.82,-0.46,0.36,-0.2,0.54,-1.15,0.22,0.11,0,Medium,Medium,0.2,0
0.39,-0.47,0.51,0.16,-1.43,-0.44,0.17,-0.33,-0.62,0.77,0.44,0,Medium,Medium,0.2,0
0.01,-1.07,-0.01,-0.8,-0.69,-0.93,-0.24,-1.18,-0.56,-0.17,1.2,0,Medium,Medium,0.2,0
-0.18,-0.54,0.14,-0.89,-0.78,0.3,0.77,-1.25,-1.34,0.46,0.61,0,Medium,Medium,0.2,0
0.95,-1.41,0.51,-0.96,-0.83,0.36,-0.55,-1.45,-2.78,0.22,1.2,0,Medium,Medium,0.2,0
0.76,0.73,0.44,0.19,-0.87,-0.19,-0.42,-0.82,-0.43,0.15,1.71,1,High,High,1.38,1
0.39,2.83,-2.32,-0.73,1.48,-1.48,-1.91,0.87,0.75,-0.25,-0.74,0,Low,Medium,-2.15,-2
-0.64,-0.34,0.36,-0.87,0.05,-0.13,1.29,-0.79,0.55,-0.56,0.19,0,Medium,Medium,-0.97,-1
0.39,0.6,0.06,-0.54,0.7,-1.41,-1.67,0.71,0.1,-0.64,-0.15,0,Medium,Medium,-0.97,-1
0.95,1.63,-0.68,-0.68,1.16,-1.11,-0.94,0.86,0.42,-0.09,-1.16,0,Medium,Medium,-0.97,-1
-1.76,0.26,0.14,-0.89,-1.1,-1.05,-0.64,-1.47,0.95,-1.11,0.95,0,Medium,Medium,0.2,0
-0.64,1.6,-2.17,-0.75,0.7,-1.6,-1.93,0.97,1.54,1.24,-0.91,0,Medium,Medium,-0.97,-1
-0.08,-0.27,0.14,-0.96,-0.5,-0.62,0.02,-1.37,-0.1,-0.17,0.7,0,Medium,Medium,-0.97,-1
0.95,0.19,2.07,2,-0.04,1.82,0.33,1.63,-1.74,-1.03,-1.58,0,Medium,Medium,-0.97,-1
2.63,1.13,-0.53,-0.64,2.36,-1.48,-1.87,1.25,0.75,-0.01,-0.48,0,Low,Medium,-2.15,-2
0.39,1.66,-2.09,-0.22,1.3,-0.19,-1.28,0.58,-1.34,-0.4,-1.16,0,Medium,Medium,-0.97,-1
0.01,0.26,0.06,-0.85,-0.69,-0.19,0.18,-0.9,-0.23,0.77,1.2,0,Medium,Medium,-0.97,-1
-0.27,-0.21,0.29,-0.52,-0.64,-1.23,0.88,-1.11,-0.89,0.07,1.2,0,Medium,Medium,0.2,0
0.39,-0.01,-0.23,-0.03,-0.46,-0.56,0.72,-0.16,0.88,0.38,0.27,0,Medium,Medium,0.2,0
0.85,-0.01,0.06,-0.1,-0.5,0.05,1.18,-0.88,-2,1.72,1.37,0,Medium,Medium,0.2,0
-1.2,-0.27,0.14,-0.31,-1.06,-0.01,-0.51,-1.56,0.16,-0.79,1.46,1,Medium,High,0.2,0
0.39,0.46,-0.98,-0.8,1.25,-0.38,-1.06,0.79,0.75,0.46,-0.99,0,Medium,Medium,-0.97,-1
0.01,-0.67,0.58,-0.8,-0.92,-1.11,-0.94,-1.61,0.16,-0.95,1.79,0,High,Medium,1.38,1
-1.2,-0.27,-1.2,-0.92,-1.06,-1.11,-0.6,-1.61,0.49,-0.95,0.7,0,Medium,Medium,0.2,0
1.51,-0.27,1.55,-0.8,2.82,-1.11,-1.45,0.93,0.16,0.46,-0.91,0,Medium,Medium,-0.97,-1
0.01,-1.41,0.06,1.07,0.1,2.07,0.85,0.68,1.14,-0.87,-0.99,0,Medium,Medium,-0.97,-1
-0.55,-0.34,0.29,2.42,-0.46,1.52,1.45,1.25,0.03,-0.17,-0.82,0,Medium,Medium,0.2,0
1.41,-1.07,-0.23,-0.54,-0.23,0.48,0.63,-0.23,-0.82,0.3,0.19,0,Medium,Medium,0.2,0
0.95,-1.41,1.33,-0.89,-0.46,0.78,0.81,-0.32,-0.62,-0.32,-0.74,0,Medium,Medium,0.2,0
0.57,1.66,-1.57,-0.75,2.31,-0.13,-0.13,0.48,-0.95,-0.25,-0.65,0,Medium,Medium,0.2,0
-0.08,-0.67,0.36,0.48,-1.1,0.05,-0.22,-0.75,0.82,-0.4,1.29,1,High,High,2.56,3
-0.74,0.39,-1.13,-0.85,1.3,-1.17,-1.71,0.43,0.75,0.3,-1.08,0,Medium,Medium,-0.97,-1
-1.2,0.46,0.81,-0.15,-0.23,0.51,2.37,-0.22,0.16,0.38,-0.82,0,Medium,Medium,0.2,0
-0.83,-0.27,-0.61,1.72,-0.18,0.17,1.56,0.65,-0.75,0.3,-0.57,0,Medium,Medium,0.2,0
0.29,-1.34,0.58,-0.08,-0.46,0.36,0.39,0.25,0.88,0.3,-0.23,0,High,Medium,1.38,1
-0.18,-0.34,-0.23,1.67,-0.46,1.33,0.42,0.33,-1.28,0.3,-0.15,0,Medium,Medium,0.2,0
1.41,1.03,-0.16,-0.22,-1.19,-0.68,-0.27,-0.9,-1.41,-1.11,1.54,0,Medium,Medium,-0.97,-1
-0.92,0.33,1.18,-0.85,-0.04,1.76,1.73,-0.43,0.1,-0.17,-0.82,0,Medium,Medium,-0.97,-1
0.57,0.6,-0.01,0.97,-0.18,-0.5,1.93,0.93,-1.08,0.7,-1.16,0,Medium,Medium,0.2,0
-0.92,0.06,1.11,-0.08,-1.06,-0.56,-0.4,-1.18,0.42,0.77,1.46,1,Medium,High,0.2,0
0.57,-1.01,-0.08,-0.89,-0.27,1.15,1.53,-0.06,-1.28,-1.11,-1.08,0,Medium,Medium,-0.97,-1
-0.08,0.8,0.21,-0.54,1.39,-0.86,-0.81,1.33,2.12,0.62,-0.91,0,Medium,Medium,-0.97,-1
-0.18,0.53,0.14,-0.66,1.34,-0.5,-1.47,0.21,1.21,1.79,0.44,0,Medium,Medium,0.2,0
0.2,-0.74,0.73,2.42,-0.09,1.52,1.38,2.04,0.62,0.54,-1.41,0,Medium,Medium,0.2,0
-0.08,2.7,-1.94,-0.71,1.34,-1.05,-1.14,0.82,1.08,0.38,-0.65,0,Medium,Medium,-0.97,-1
0.48,-0.14,-0.53,-0.75,-0.69,0.54,0.63,-1.08,-1.15,-0.64,1.03,0,High,Medium,1.38,1
1.97,-0.41,0.21,1.28,-0.41,1.15,2.06,1.11,-1.21,-0.87,-0.15,0,Medium,Medium,0.2,0
0.85,-0.87,-0.08,0.72,-0.69,0.72,0.26,-0.18,-0.82,1.17,1.03,0,Medium,Medium,0.2,0
-0.46,-0.54,0.29,2.09,0.79,0.72,0.86,1.68,2.19,-0.4,-0.65,0,Medium,Medium,-0.97,-1
-0.46,-0.41,1.33,0.65,-0.13,1.95,1.86,0.57,-0.36,-0.56,-0.99,0,Medium,Medium,0.2,0
-0.74,-0.67,-0.08,-0.75,-0.87,-0.86,-0.46,-1.33,0.36,-0.95,1.03,0,Medium,Medium,0.2,0
0.29,-0.14,-0.38,0.83,-0.18,1.03,1.65,0.75,0.23,-1.27,-1.24,0,Medium,Medium,-0.97,-1
-0.64,-0.71,1.25,-0.66,2.91,-0.07,-0.22,-0.9,0.1,0.46,1.29,0,Medium,Medium,0.2,0
-1.11,2.13,-0.61,-0.01,-0.78,-0.62,0.22,-1.48,1.54,-0.32,1.88,1,Medium,High,0.2,0
-0.83,0.19,-0.53,-0.66,1.99,-0.68,-1.36,0.11,2.26,0.38,0.95,0,Medium,Medium,0.2,0
0.57,-0.61,-0.01,-0.87,-0.23,0.17,-0.18,-0.47,-0.04,0.22,0.19,0,Medium,Medium,0.2,0
0.39,2.53,-2.32,-0.8,1.85,-0.5,-1.56,0.73,1.01,0.46,-0.48,0,Medium,Medium,0.2,0
-0.08,2.36,-2.32,-0.73,0.7,0.6,-0.97,1.29,2.45,2.26,-0.57,0,Medium,Medium,-0.97,-1
1.69,1.56,0.21,-0.47,1.9,-0.86,-0.07,1.97,1.01,0.7,-0.91,0,Medium,Medium,-0.97,-1
-0.92,0.13,-0.53,-0.64,-0.83,-0.31,0.31,-1.33,0.75,0.54,1.2,1,High,High,1.38,1
2.35,0.33,-0.01,-0.59,2.04,-0.86,-1.23,1.4,-0.23,1.4,-0.48,0,High,Medium,1.38,1
0.01,-0.81,-0.01,-0.29,-1.43,0.6,0.48,-0.77,-0.36,-1.03,0.19,0,High,Medium,1.38,1
0.95,-0.94,0.66,-0.96,-0.69,2.62,1.18,-0.61,-1.08,-1.42,-0.48,0,Medium,Medium,0.2,0
1.23,-1.07,-0.01,0.09,0.01,1.03,0.63,0.36,0.1,-1.11,-0.65,0,Medium,Medium,-0.97,-1
-1.3,-1.14,-0.38,0.3,-0.41,-0.13,-0.05,-0.25,-1.08,0.46,-0.57,0,Medium,Medium,0.2,0
0.85,0.06,-0.46,0.32,-0.78,0.48,-0.24,-1.01,-2.06,-2.28,1.37,1,Medium,High,0.2,0
-2.04,0.03,-1.28,-0.87,-0.73,2.37,0.96,-0.78,1.6,-0.48,-0.09,0,Medium,Medium,-0.97,-1
-0.46,-0.47,-0.31,1.58,-0.18,-0.13,-0.07,0.63,-2.33,-0.25,-0.74,0,Medium,Medium,0.2,0
-0.55,-0.74,-0.01,-0.26,-0.27,-0.8,-0.18,-1.19,-0.49,-1.66,0.78,0,Medium,Medium,-0.97,-1
-0.83,-0.01,-0.31,-0.03,-0.73,-0.01,0.33,-0.57,-0.17,-0.79,-0.15,0,High,Medium,1.38,1
-1.3,-0.34,-0.23,-0.66,-1.52,-0.93,-0.94,-1.47,-1.08,-0.01,0.53,0,Medium,Medium,0.2,0
1.51,2.4,-2.32,-0.43,1.48,-1.05,-1.52,1.76,0.88,-0.56,-0.99,0,Medium,Medium,-0.97,-1
0.2,2.26,-2.17,-0.66,0.93,0.05,-0.44,0.49,0.62,1.24,0.44,0,Medium,Medium,0.2,0
-0.27,0.66,-0.38,0.04,-0.41,0.6,1.1,-1.13,-0.36,-0.87,1.46,0,Medium,Medium,0.2,0
0.2,-0.47,-0.08,1,-0.09,0.3,0.7,0.54,-0.1,-0.17,-0.15,0,Medium,Medium,0.2,0
-0.27,-0.54,-0.98,-0.85,0.19,-1.05,0.39,-0.29,-0.75,-0.79,-0.91,0,Medium,Medium,-0.97,-1
0.85,-1.01,1.33,-0.75,0.42,-1.23,0.53,-0.04,0.03,-0.32,-0.48,0,Medium,Medium,-0.97,-1
-2.14,-0.81,-0.75,1.21,-0.69,-0.8,-0.07,-0.38,2.84,-0.32,1.37,0,High,Medium,1.38,1
0.39,0.33,0.14,0.97,-0.41,-0.68,0,0.05,-0.95,-0.79,0.7,0,Medium,Medium,0.2,0
1.04,0.33,0.06,-0.59,1.3,-0.38,-0.83,0.69,0.29,2.58,0.36,0,Medium,Medium,0.2,0
0.2,-1.07,0.36,0.74,-1.1,0.85,-0.09,-0.57,-0.56,-0.87,1.54,1,Medium,High,0.2,0
-0.18,0.46,-0.08,1.3,-0.87,-0.38,-0.53,-0.59,-0.49,-0.56,1.88,1,Medium,High,0.2,0
-0.55,-0.74,-0.31,-0.8,-0.59,0.36,0,-0.9,1.01,0.38,0.36,1,High,High,1.38,1
0.85,-0.54,1.33,-0.89,0.42,-0.19,0.02,-0.18,-0.95,-1.42,-0.99,0,Medium,Medium,-0.97,-1
-0.08,-0.14,1.55,-0.78,-1.06,-1.54,-1.01,-0.9,-1.02,-0.72,-0.15,0,Medium,Medium,-0.97,-1
2.16,-1.14,-0.61,-0.8,-0.46,-0.99,-0.9,-0.04,-1.02,-1.58,-0.91,0,Medium,Medium,-0.97,-1
1.41,0.6,0.58,-0.75,0.74,-1.48,-1.91,0.31,0.82,1.32,0.95,0,High,Medium,2.56,3
-1.58,0.29,0.66,-0.4,0.1,-0.07,0.57,0.19,1.27,-0.01,-1.24,0,Medium,Medium,-0.97,-1
-0.08,-0.74,-0.16,0.9,-0.09,-0.38,-0.48,0.45,0.42,-0.48,-0.65,0,Medium,Medium,0.2,0
-0.08,0.19,-0.75,-0.64,1.57,-0.62,-0.94,0.46,1.14,0.15,-0.4,0,Medium,Medium,0.2,0
0.57,-0.54,0.88,-0.12,0.47,-0.62,-0.02,0.82,1.01,-0.17,-0.57,0,Medium,Medium,0.2,0
-0.08,0.19,-0.08,-0.01,-0.55,0.6,0.5,-0.92,0.68,-0.79,1.37,0,High,Medium,1.38,1
-1.48,-0.34,-0.75,-0.8,-0.92,-0.44,-0.57,-1.44,1.27,-0.79,1.62,0,Medium,Medium,-0.97,-1
0.85,1.8,-0.68,-0.68,1.3,-0.31,-0.2,0.66,0.49,-0.25,-0.57,0,Medium,Medium,-0.97,-1
-0.36,0.53,-0.31,-0.57,-0.87,-0.31,-0.57,-1.23,-1.15,-1.42,0.95,0,Medium,Medium,0.2,0
-0.27,0.06,2.82,-0.87,0.28,-1.11,1.01,-0.43,-1.08,-0.4,-0.74,0,Medium,Medium,-0.97,-1
-0.18,-1.21,-0.23,-0.15,-1.06,-0.99,-0.16,-0.3,0.1,-0.48,-0.15,0,High,Medium,2.56,3
0.29,-0.01,0.96,0.6,-0.09,0.6,2.04,0.89,-0.69,-0.01,-1.33,0,Medium,Medium,-0.97,-1
0.29,-1.01,-0.31,-0.87,-0.18,-0.25,-0.2,-0.11,1.93,1.09,0.02,0,Medium,Medium,0.2,0
